ID: 11252, waiting time: 1016
ID: 15612, waiting time: 1250
ID: 12608, waiting time: 1438
ID: 22116, waiting time: 2125
ID: 20408, waiting time: 3172
ID: 12244, waiting time: 3516
ID: 11044, waiting time: 4375
ID: 23528, waiting time: 4391
ID: 14772, waiting time: 5469
ID: 13660, waiting time: 6688
ID: 10696, waiting time: 1234
ID: 5600, waiting time: 1328
ID: 16300, waiting time: 1516
ID: 13260, waiting time: 2922
ID: 13976, waiting time: 3562
ID: 15840, waiting time: 4359
ID: 14884, waiting time: 5500
ID: 12436, waiting time: 6094
ID: 9768, waiting time: 6640
